order_id,order_date,order_month,order_year,product_category,product_subcategory,original_price,sales_price,discount_percentage,profit,city,state,country
OD1553,13/01/2015,janeiro,2015,Fruits & Veggies,Fresh Fruits,893.85,581.00,35%,87.15,San Francisco,California,United States
OD1564,13/01/2015,janeiro,2015,Bakery,Cakes,2402.94,1634.00,32%,408.50,San Francisco,California,United States
OD1767,13/01/2015,janeiro,2015,Snacks,Cookies,1180.00,885.00,25%,141.60,Fremont,Nebraska,United States
OD1783,13/01/2015,janeiro,2015,Beverages,Health Drinks,1389.04,1014.00,27%,182.52,Fremont,Nebraska,United States
OD4072,13/01/2015,janeiro,2015,Bakery,Biscuits,660.47,568.00,14%,176.08,Philadelphia,Pennsylvania,United States
OD4083,13/01/2015,janeiro,2015,Bakery,Biscuits,1280.49,1050.00,18%,157.50,Orem,Utah,United States
OD4286,13/01/2015,janeiro,2015,Food Grains,Rice,1674.12,1423.00,15%,270.37,Los Angeles,California,United States
OD4302,13/01/2015,janeiro,2015,Food Grains,Dals & Pulses,2819.48,2171.00,23%,933.53,Los Angeles,California,United States
OD6593,13/01/2015,janeiro,2015,Oil & Masala,Edible Oil & Ghee,2727.85,2155.00,21%,926.65,Philadelphia,Pennsylvania,United States
OD6604,13/01/2015,janeiro,2015,Oil & Masala,Spices,3031.94,2183.00,28%,327.45,Philadelphia,Pennsylvania,United States
OD6807,13/01/2015,janeiro,2015,Bakery,Breads & Buns,2459.74,1894.00,23%,795.48,Philadelphia,Pennsylvania,United States
OD6823,13/01/2015,janeiro,2015,Beverages,Soft Drinks,1051.28,820.00,22%,311.60,Philadelphia,Pennsylvania,United States
OD9181,13/01/2015,janeiro,2015,Bakery,Cakes,2495.56,2246.00,10%,157.22,Philadelphia,Pennsylvania,United States
OD9182,13/01/2015,janeiro,2015,Fruits & Veggies,Organic Fruits,3217.91,2156.00,33%,668.36,Philadelphia,Pennsylvania,United States
OD9183,13/01/2015,janeiro,2015,Oil & Masala,Edible Oil & Ghee,1557.58,1028.00,34%,51.40,Philadelphia,Pennsylvania,United States
OD9184,13/01/2015,janeiro,2015,"Eggs, Meat & Fish",Mutton,1748.78,1434.00,18%,143.40,Houston,Texas,United States
OD9185,13/01/2015,janeiro,2015,"Eggs, Meat & Fish",Chicken,702.27,618.00,12%,185.40,Richardson,Texas,United States
OD9405,13/01/2015,janeiro,2015,Fruits & Veggies,Organic Fruits,2939.51,2381.00,19%,380.96,Richardson,Texas,United States
OD9632,13/01/2015,janeiro,2015,Bakery,Biscuits,1928.57,1485.00,23%,103.95,Houston,Texas,United States
OD723,13/01/2016,janeiro,2016,Oil & Masala,Edible Oil & Ghee,894.20,617.00,31%,209.78,Houston,Texas,United States
OD736,13/01/2016,janeiro,2016,Snacks,Noodles,1890.54,1399.00,26%,307.78,Houston,Texas,United States
OD1834,13/01/2016,janeiro,2016,Snacks,Noodles,1436.14,1192.00,17%,393.36,Houston,Texas,United States
OD2637,13/01/2016,janeiro,2016,Fruits & Veggies,Organic Fruits,1306.58,993.00,24%,178.74,Naperville,Illinois,United States
OD4353,13/01/2016,janeiro,2016,"Eggs, Meat & Fish",Mutton,1158.54,950.00,18%,199.50,Los Angeles,California,United States
OD5156,13/01/2016,janeiro,2016,Beverages,Health Drinks,2158.75,1727.00,20%,189.97,Melbourne,Florida,United States
OD6874,13/01/2016,janeiro,2016,Snacks,Chocolates,644.44,522.00,19%,31.32,Eagan,Minnesota,United States
OD7677,13/01/2016,janeiro,2016,Bakery,Biscuits,3292.65,2239.00,32%,626.92,Eagan,Minnesota,United States
OD9613,13/01/2016,janeiro,2016,Snacks,Chocolates,2196.00,1647.00,25%,230.58,Westland,Michigan,United States
OD9626,13/01/2016,janeiro,2016,Fruits & Veggies,Fresh Vegetables,1607.69,1254.00,22%,250.80,Dover,Delaware,United States
OD2252,13/01/2018,janeiro,2018,Snacks,Cookies,1573.03,1400.00,11%,336.00,Dover,Delaware,United States
OD2568,13/01/2018,janeiro,2018,Food Grains,Organic Staples,2156.10,1768.00,18%,88.40,New Albany,Indiana,United States
OD2569,13/01/2018,janeiro,2018,Oil & Masala,Spices,1652.44,1355.00,18%,311.65,New Albany,Indiana,United States
OD2570,13/01/2018,janeiro,2018,Beverages,Soft Drinks,941.03,734.00,22%,176.16,New Albany,Indiana,United States
OD4771,13/01/2018,janeiro,2018,"Eggs, Meat & Fish",Eggs,3125.37,2094.00,33%,167.52,New Albany,Indiana,United States
OD5087,13/01/2018,janeiro,2018,Food Grains,Dals & Pulses,2666.23,2053.00,23%,739.08,New York City,New York,United States
OD5088,13/01/2018,janeiro,2018,Food Grains,Atta & Flour,2642.05,2325.00,12%,1046.25,New York City,New York,United States
OD5089,13/01/2018,janeiro,2018,"Eggs, Meat & Fish",Chicken,2841.18,2415.00,15%,120.75,Troy,New York,United States
OD7292,13/01/2018,janeiro,2018,Snacks,Noodles,3202.70,2370.00,26%,568.80,Troy,New York,United States
OD7608,13/01/2018,janeiro,2018,Fruits & Veggies,Organic Fruits,2788.41,1924.00,31%,250.12,Troy,New York,United States
OD7609,13/01/2018,janeiro,2018,Food Grains,Atta & Flour,1146.97,757.00,34%,113.55,Troy,New York,United States
OD7610,13/01/2018,janeiro,2018,Oil & Masala,Edible Oil & Ghee,3183.33,2101.00,34%,483.23,Troy,New York,United States
OD271,13/02/2017,fevereiro,2017,Snacks,Noodles,858.43,764.00,11%,160.44,Troy,New York,United States
OD9161,13/02/2017,fevereiro,2017,"Eggs, Meat & Fish",Chicken,2149.37,1698.00,21%,118.86,Troy,New York,United States
OD707,13/02/2018,fevereiro,2018,Snacks,Chocolates,1373.33,1030.00,25%,247.20,Los Angeles,California,United States
OD1279,13/02/2018,fevereiro,2018,Fruits & Veggies,Organic Fruits,1018.75,815.00,20%,244.50,Los Angeles,California,United States
OD1428,13/02/2018,fevereiro,2018,Fruits & Veggies,Fresh Vegetables,823.61,593.00,28%,213.48,Los Angeles,California,United States
OD1450,13/02/2018,fevereiro,2018,Food Grains,Organic Staples,1569.74,1193.00,24%,477.20,Los Angeles,California,United States
OD1721,13/02/2018,fevereiro,2018,Food Grains,Organic Staples,1891.36,1532.00,19%,505.56,Chicago,Illinois,United States
OD2153,13/02/2018,fevereiro,2018,Beverages,Health Drinks,2445.95,1810.00,26%,796.40,Gilbert,Arizona,United States
OD2796,13/02/2018,fevereiro,2018,Snacks,Noodles,2546.15,1655.00,35%,496.50,Gilbert,Arizona,United States
OD3947,13/02/2018,fevereiro,2018,Bakery,Cakes,2662.50,2130.00,20%,255.60,Springfield,Virginia,United States
OD3969,13/02/2018,fevereiro,2018,"Eggs, Meat & Fish",Eggs,2524.68,1944.00,23%,563.76,New York City,New York,United States
OD4240,13/02/2018,fevereiro,2018,Beverages,Soft Drinks,3082.43,2281.00,26%,433.39,Jackson,Michigan,United States
OD4672,13/02/2018,fevereiro,2018,"Eggs, Meat & Fish",Chicken,921.54,599.00,35%,161.73,Memphis,Tennessee,United States
OD5315,13/02/2018,fevereiro,2018,"Eggs, Meat & Fish",Mutton,3459.09,2283.00,34%,342.45,Memphis,Tennessee,United States
OD6468,13/02/2018,fevereiro,2018,Snacks,Chocolates,2195.83,1581.00,28%,300.39,Memphis,Tennessee,United States
OD6490,13/02/2018,fevereiro,2018,Bakery,Biscuits,1062.50,765.00,28%,344.25,Houston,Texas,United States
OD6761,13/02/2018,fevereiro,2018,Snacks,Noodles,1147.78,1033.00,10%,340.89,Houston,Texas,United States
OD7193,13/02/2018,fevereiro,2018,"Eggs, Meat & Fish",Mutton,1000.00,840.00,16%,75.60,Houston,Texas,United States
OD7836,13/02/2018,fevereiro,2018,Snacks,Cookies,2011.69,1549.00,23%,356.27,Houston,Texas,United States
OD9597,13/02/2018,fevereiro,2018,Oil & Masala,Spices,1307.14,1098.00,16%,164.70,Decatur,Alabama,United States
OD434,13/03/2016,março,2016,Bakery,Breads & Buns,1294.38,1152.00,11%,264.96,Decatur,Alabama,United States
OD3306,13/03/2016,março,2016,Beverages,Health Drinks,2571.43,2160.00,16%,928.80,San Francisco,California,United States
OD3311,13/03/2016,março,2016,Food Grains,Atta & Flour,701.30,540.00,23%,70.20,San Francisco,California,United States
OD5825,13/03/2016,março,2016,Snacks,Cookies,3321.62,2458.00,26%,467.02,Durham,North Carolina,United States
OD5830,13/03/2016,março,2016,Food Grains,Organic Staples,2756.00,2067.00,25%,826.80,Chicago,Illinois,United States
OD8346,13/03/2016,março,2016,Oil & Masala,Masalas,2079.07,1788.00,14%,625.80,Columbia,South Carolina,United States
OD8351,13/03/2016,março,2016,Beverages,Soft Drinks,1364.38,996.00,27%,199.20,Rochester,Minnesota,United States
OD9324,13/03/2016,março,2016,"Eggs, Meat & Fish",Mutton,1332.86,933.00,30%,345.21,Rochester,Minnesota,United States
OD69,13/03/2017,março,2017,Food Grains,Atta & Flour,1680.52,1294.00,23%,77.64,Houston,Texas,United States
OD70,13/03/2017,março,2017,Oil & Masala,Masalas,1432.56,1232.00,14%,554.40,Los Angeles,California,United States
OD595,13/03/2017,março,2017,Snacks,Noodles,1924.00,1443.00,25%,533.91,Los Angeles,California,United States
OD1331,13/03/2017,março,2017,Snacks,Noodles,1830.56,1318.00,28%,329.50,Los Angeles,California,United States
OD1357,13/03/2017,março,2017,Fruits & Veggies,Organic Fruits,2587.67,1889.00,27%,302.24,Minneapolis,Minnesota,United States
OD2270,13/03/2017,março,2017,Bakery,Breads & Buns,1209.20,1052.00,13%,105.20,Minneapolis,Minnesota,United States
OD2279,13/03/2017,março,2017,Snacks,Chocolates,2192.96,1557.00,29%,498.24,Minneapolis,Minnesota,United States
OD2616,13/03/2017,março,2017,Bakery,Cakes,970.79,864.00,11%,267.84,Portland,Oregon,United States
OD2625,13/03/2017,março,2017,Snacks,Chocolates,2827.85,2234.00,21%,580.84,New York City,New York,United States
OD2626,13/03/2017,março,2017,Bakery,Breads & Buns,2844.44,2048.00,28%,102.40,San Francisco,California,United States
OD2631,13/03/2017,março,2017,Bakery,Cakes,1468.24,1248.00,15%,424.32,Saint Paul,Minnesota,United States
OD2633,13/03/2017,março,2017,"Eggs, Meat & Fish",Mutton,1672.41,1455.00,13%,116.40,Chicago,Illinois,United States
OD2669,13/03/2017,março,2017,Food Grains,Organic Staples,2234.29,1564.00,30%,422.28,Chicago,Illinois,United States
OD3117,13/03/2017,março,2017,Oil & Masala,Spices,2000.00,1640.00,18%,656.00,Chicago,Illinois,United States
OD3119,13/03/2017,março,2017,Oil & Masala,Spices,1438.82,1223.00,15%,61.15,Rochester,Minnesota,United States
OD3120,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,880.30,581.00,34%,255.64,Aurora,Colorado,United States
OD3352,13/03/2017,março,2017,"Eggs, Meat & Fish",Fish,1915.38,1494.00,22%,373.50,Aurora,Colorado,United States
OD3625,13/03/2017,março,2017,Snacks,Chocolates,3301.47,2245.00,32%,336.75,Aurora,Colorado,United States
OD3639,13/03/2017,março,2017,Food Grains,Organic Staples,1574.03,1212.00,23%,84.84,Charlotte,North Carolina,United States
OD3741,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,1368.66,917.00,33%,45.85,Charlotte,North Carolina,United States
OD3876,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,2665.91,2346.00,12%,563.04,Charlotte,North Carolina,United States
OD4789,13/03/2017,março,2017,Beverages,Soft Drinks,1964.86,1454.00,26%,596.14,Orland Park,Illinois,United States
OD4798,13/03/2017,março,2017,Fruits & Veggies,Organic Fruits,2355.42,1955.00,17%,762.45,New York City,New York,United States
OD5135,13/03/2017,março,2017,Beverages,Soft Drinks,3024.32,2238.00,26%,447.60,Urbandale,Iowa,United States
OD5144,13/03/2017,março,2017,Beverages,Health Drinks,2439.39,1610.00,34%,531.30,Urbandale,Iowa,United States
OD5145,13/03/2017,março,2017,Fruits & Veggies,Organic Vegetables,1702.63,1294.00,24%,439.96,Columbus,Ohio,United States
OD5150,13/03/2017,março,2017,"Eggs, Meat & Fish",Fish,915.38,595.00,35%,178.50,Columbus,Ohio,United States
OD5152,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,2870.42,2038.00,29%,733.68,Columbus,Ohio,United States
OD5188,13/03/2017,março,2017,Snacks,Noodles,1230.00,984.00,20%,393.60,Columbus,Ohio,United States
OD5636,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,1498.70,1154.00,23%,346.20,Seattle,Washington,United States
OD5638,13/03/2017,março,2017,Snacks,Chocolates,1941.10,1417.00,27%,510.12,Bristol,Tennessee,United States
OD5639,13/03/2017,março,2017,Food Grains,Dals & Pulses,2703.37,2406.00,11%,312.78,Wilmington,Delaware,United States
OD5871,13/03/2017,março,2017,Beverages,Health Drinks,1659.74,1278.00,23%,383.40,Wilmington,Delaware,United States
OD6144,13/03/2017,março,2017,Fruits & Veggies,Organic Vegetables,1384.93,1011.00,27%,333.63,Wilmington,Delaware,United States
OD6158,13/03/2017,março,2017,Oil & Masala,Spices,1125.00,945.00,16%,425.25,Wilmington,Delaware,United States
OD6260,13/03/2017,março,2017,Snacks,Noodles,2321.79,1811.00,22%,235.43,Wilmington,Delaware,United States
OD6397,13/03/2017,março,2017,Beverages,Health Drinks,1246.99,1035.00,17%,414.00,Houston,Texas,United States
OD7310,13/03/2017,março,2017,"Eggs, Meat & Fish",Eggs,2065.28,1487.00,28%,639.41,Bloomington,Illinois,United States
OD7319,13/03/2017,março,2017,"Eggs, Meat & Fish",Chicken,1382.72,1120.00,19%,235.20,Phoenix,Arizona,United States
OD7656,13/03/2017,março,2017,"Eggs, Meat & Fish",Mutton,842.50,674.00,20%,289.82,Phoenix,Arizona,United States
OD7665,13/03/2017,março,2017,Beverages,Health Drinks,827.27,728.00,12%,254.80,Los Angeles,California,United States
OD7666,13/03/2017,março,2017,Fruits & Veggies,Organic Fruits,1646.05,1251.00,24%,250.20,Los Angeles,California,United States
OD7671,13/03/2017,março,2017,Snacks,Cookies,2311.76,1572.00,32%,267.24,Columbus,Ohio,United States
OD7673,13/03/2017,março,2017,Food Grains,Atta & Flour,2024.10,1680.00,17%,336.00,Columbus,Ohio,United States
OD7709,13/03/2017,março,2017,Oil & Masala,Edible Oil & Ghee,900.00,594.00,34%,243.54,Columbus,Ohio,United States
OD8157,13/03/2017,março,2017,Fruits & Veggies,Organic Fruits,647.67,557.00,14%,150.39,Roseville,California,United States
OD8159,13/03/2017,março,2017,Bakery,Cakes,2836.36,2496.00,12%,673.92,Roseville,California,United States
OD8160,13/03/2017,março,2017,Fruits & Veggies,Organic Vegetables,636.25,509.00,20%,50.90,Roseville,California,United States
OD8392,13/03/2017,março,2017,Snacks,Chocolates,849.32,620.00,27%,117.80,Roseville,California,United States
OD8665,13/03/2017,março,2017,Food Grains,Dals & Pulses,1644.93,1135.00,31%,147.55,Roseville,California,United States
OD8679,13/03/2017,março,2017,Fruits & Veggies,Fresh Vegetables,705.56,508.00,28%,76.20,Roseville,California,United States
OD8781,13/03/2017,março,2017,"Eggs, Meat & Fish",Fish,2284.85,1508.00,34%,316.68,Roseville,California,United States
OD8959,13/03/2017,março,2017,Snacks,Noodles,610.98,501.00,18%,65.13,Philadelphia,Pennsylvania,United States
OD8960,13/03/2017,março,2017,Food Grains,Atta & Flour,2323.53,1580.00,32%,616.20,San Francisco,California,United States
OD9485,13/03/2017,março,2017,Bakery,Breads & Buns,752.94,512.00,32%,168.96,San Francisco,California,United States
OD811,13/03/2018,março,2018,"Eggs, Meat & Fish",Eggs,1751.19,1471.00,16%,147.10,San Francisco,California,United States
OD813,13/03/2018,março,2018,Bakery,Breads & Buns,1656.58,1259.00,24%,415.47,Independence,Missouri,United States
OD826,13/03/2018,março,2018,Snacks,Cookies,1698.68,1291.00,24%,477.67,Pasadena,California,United States
OD1434,13/03/2018,março,2018,"Eggs, Meat & Fish",Eggs,1420.00,1207.00,15%,458.66,Newark,Ohio,United States
OD1831,13/03/2018,março,2018,Food Grains,Dals & Pulses,675.86,588.00,13%,235.20,Franklin,Wisconsin,United States
OD2059,13/03/2018,março,2018,Bakery,Biscuits,1710.29,1163.00,32%,441.94,Franklin,Wisconsin,United States
OD3075,13/03/2018,março,2018,Beverages,Health Drinks,1398.63,1021.00,27%,224.62,Franklin,Wisconsin,United States
OD3279,13/03/2018,março,2018,Food Grains,Rice,676.54,548.00,19%,235.64,Franklin,Wisconsin,United States
OD3439,13/03/2018,março,2018,Beverages,Soft Drinks,782.86,548.00,30%,65.76,Scottsdale,Arizona,United States
OD3440,13/03/2018,março,2018,Beverages,Health Drinks,2111.76,1795.00,15%,789.80,Scottsdale,Arizona,United States
OD3441,13/03/2018,março,2018,Snacks,Noodles,1503.08,977.00,35%,97.70,San Jose,California,United States
OD3502,13/03/2018,março,2018,Snacks,Noodles,3336.49,2469.00,26%,987.60,San Jose,California,United States
OD3503,13/03/2018,março,2018,Snacks,Chocolates,2487.06,2114.00,15%,507.36,San Jose,California,United States
OD3505,13/03/2018,março,2018,Fruits & Veggies,Organic Vegetables,2225.56,2003.00,10%,821.23,Seattle,Washington,United States
OD3694,13/03/2018,março,2018,Bakery,Biscuits,1184.42,912.00,23%,91.20,Seattle,Washington,United States
OD3766,13/03/2018,março,2018,Bakery,Cakes,2708.00,2031.00,25%,264.03,Edmond,Oklahoma,United States
OD3767,13/03/2018,março,2018,Food Grains,Atta & Flour,2664.00,1998.00,25%,319.68,Edmond,Oklahoma,United States
OD3768,13/03/2018,março,2018,Oil & Masala,Masalas,771.79,602.00,22%,252.84,Los Angeles,California,United States
OD3793,13/03/2018,março,2018,Food Grains,Atta & Flour,2840.74,2301.00,19%,437.19,Philadelphia,Pennsylvania,United States
OD3796,13/03/2018,março,2018,Snacks,Noodles,3292.00,2469.00,25%,962.91,Carlsbad,New Mexico,United States
OD3953,13/03/2018,março,2018,Oil & Masala,Masalas,2637.31,1767.00,33%,406.41,Seattle,Washington,United States
OD4350,13/03/2018,março,2018,Oil & Masala,Spices,1640.91,1444.00,12%,563.16,San Antonio,Texas,United States
OD4578,13/03/2018,março,2018,Bakery,Breads & Buns,752.05,549.00,27%,153.72,San Antonio,Texas,United States
OD5594,13/03/2018,março,2018,"Eggs, Meat & Fish",Mutton,2631.82,2316.00,12%,764.28,San Antonio,Texas,United States
OD5798,13/03/2018,março,2018,"Eggs, Meat & Fish",Fish,2728.74,2374.00,13%,379.84,San Antonio,Texas,United States
OD5958,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,3102.78,2234.00,28%,938.28,San Antonio,Texas,United States
OD5959,13/03/2018,março,2018,Beverages,Soft Drinks,2787.36,2425.00,13%,266.75,San Antonio,Texas,United States
OD5960,13/03/2018,março,2018,Food Grains,Atta & Flour,1129.63,915.00,19%,411.75,San Antonio,Texas,United States
OD6021,13/03/2018,março,2018,Beverages,Soft Drinks,967.78,871.00,10%,200.33,Los Angeles,California,United States
OD6022,13/03/2018,março,2018,Bakery,Breads & Buns,2294.03,1537.00,33%,676.28,Los Angeles,California,United States
OD6024,13/03/2018,março,2018,Fruits & Veggies,Organic Fruits,2789.74,2176.00,22%,544.00,Los Angeles,California,United States
OD6213,13/03/2018,março,2018,Snacks,Chocolates,1873.33,1405.00,25%,477.70,Chicago,Illinois,United States
OD6285,13/03/2018,março,2018,Beverages,Soft Drinks,856.79,694.00,19%,76.34,Chicago,Illinois,United States
OD6286,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,3170.59,2156.00,32%,776.16,Houston,Texas,United States
OD6287,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,1893.15,1382.00,27%,538.98,Newark,Ohio,United States
OD6312,13/03/2018,março,2018,Beverages,Soft Drinks,945.45,624.00,34%,168.48,Newark,Ohio,United States
OD6315,13/03/2018,março,2018,Beverages,Health Drinks,1904.17,1371.00,28%,575.82,New York City,New York,United States
OD6474,13/03/2018,março,2018,Bakery,Breads & Buns,3095.77,2198.00,29%,571.48,Decatur,Illinois,United States
OD6871,13/03/2018,março,2018,Food Grains,Organic Staples,912.20,748.00,18%,89.76,Decatur,Illinois,United States
OD7099,13/03/2018,março,2018,"Eggs, Meat & Fish",Fish,2123.94,1508.00,29%,422.24,Monroe,Louisiana,United States
OD8115,13/03/2018,março,2018,"Eggs, Meat & Fish",Chicken,3522.86,2466.00,30%,369.90,Monroe,Louisiana,United States
OD8319,13/03/2018,março,2018,Snacks,Chocolates,1537.97,1215.00,21%,437.40,Monroe,Louisiana,United States
OD8479,13/03/2018,março,2018,Beverages,Health Drinks,1483.33,1068.00,28%,480.60,Fairfield,Connecticut,United States
OD8480,13/03/2018,março,2018,Food Grains,Dals & Pulses,1390.91,1224.00,12%,208.08,Los Angeles,California,United States
OD8481,13/03/2018,março,2018,Fruits & Veggies,Organic Vegetables,1367.78,1231.00,10%,381.61,Grand Prairie,Texas,United States
OD8542,13/03/2018,março,2018,Fruits & Veggies,Organic Vegetables,1246.97,823.00,34%,189.29,Grand Prairie,Texas,United States
OD8543,13/03/2018,março,2018,Oil & Masala,Masalas,2237.78,2014.00,10%,543.78,New York City,New York,United States
OD8545,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,1162.34,895.00,23%,116.35,New York City,New York,United States
OD8734,13/03/2018,março,2018,Snacks,Cookies,1245.59,847.00,32%,245.63,New York City,New York,United States
OD8806,13/03/2018,março,2018,Snacks,Cookies,1605.06,1268.00,21%,63.40,New York City,New York,United States
OD8807,13/03/2018,março,2018,Snacks,Cookies,1465.56,1319.00,10%,131.90,New York City,New York,United States
OD8808,13/03/2018,março,2018,Fruits & Veggies,Organic Fruits,2397.73,2110.00,12%,865.10,Redlands,California,United States
OD8833,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,802.47,650.00,19%,84.50,Hamilton,Ohio,United States
OD8836,13/03/2018,março,2018,Fruits & Veggies,Organic Vegetables,1656.82,1458.00,12%,320.76,Hamilton,Ohio,United States
OD9701,13/03/2018,março,2018,Bakery,Biscuits,2306.41,1799.00,22%,323.82,Westfield,New Jersey,United States
OD9703,13/03/2018,março,2018,Fruits & Veggies,Organic Vegetables,3216.00,2412.00,25%,1085.40,Philadelphia,Pennsylvania,United States
OD9716,13/03/2018,março,2018,Oil & Masala,Edible Oil & Ghee,2740.00,2055.00,25%,472.65,Philadelphia,Pennsylvania,United States
OD115,13/04/2015,abril,2015,Snacks,Noodles,2719.10,2420.00,11%,242.00,Akron,Ohio,United States
OD116,13/04/2015,abril,2015,Snacks,Chocolates,1717.11,1305.00,24%,287.10,Denver,Colorado,United States
OD117,13/04/2015,abril,2015,Fruits & Veggies,Organic Fruits,1158.75,927.00,20%,157.59,Denver,Colorado,United States
OD118,13/04/2015,abril,2015,Fruits & Veggies,Organic Vegetables,1104.49,983.00,11%,186.77,Dallas,Texas,United States
OD3577,13/04/2015,abril,2015,Oil & Masala,Spices,831.94,599.00,28%,185.69,Franklin,Tennessee,United States
OD6096,13/04/2015,abril,2015,Oil & Masala,Masalas,1974.07,1599.00,19%,271.83,Whittier,California,United States
OD8617,13/04/2015,abril,2015,"Eggs, Meat & Fish",Eggs,3064.38,2237.00,27%,559.25,Saginaw,Michigan,United States
OD9005,13/04/2015,abril,2015,Beverages,Soft Drinks,3073.08,2397.00,22%,1030.71,Saginaw,Michigan,United States
OD9006,13/04/2015,abril,2015,Fruits & Veggies,Organic Vegetables,2118.92,1568.00,26%,423.36,Saginaw,Michigan,United States
OD9007,13/04/2015,abril,2015,Snacks,Cookies,1805.68,1589.00,12%,413.14,Saginaw,Michigan,United States
OD9008,13/04/2015,abril,2015,Beverages,Soft Drinks,1778.67,1334.00,25%,200.10,Saginaw,Michigan,United States
OD548,13/04/2016,abril,2016,Bakery,Cakes,1153.25,888.00,23%,337.44,Dallas,Texas,United States
OD580,13/04/2016,abril,2016,Food Grains,Organic Staples,1693.02,1456.00,14%,567.84,Medina,Ohio,United States
OD591,13/04/2016,abril,2016,Oil & Masala,Masalas,1781.58,1354.00,24%,324.96,Medina,Ohio,United States
OD761,13/04/2016,abril,2016,Beverages,Health Drinks,2547.83,1758.00,31%,580.14,Medina,Ohio,United States
OD1156,13/04/2016,abril,2016,Bakery,Cakes,3388.41,2338.00,31%,116.90,Medina,Ohio,United States
OD1244,13/04/2016,abril,2016,Food Grains,Dals & Pulses,1052.00,789.00,25%,181.47,Medina,Ohio,United States
OD1815,13/04/2016,abril,2016,Oil & Masala,Spices,1046.43,879.00,16%,307.65,Los Angeles,California,United States
OD2001,13/04/2016,abril,2016,Bakery,Breads & Buns,1484.62,1158.00,22%,382.14,Los Angeles,California,United States
OD2036,13/04/2016,abril,2016,Bakery,Cakes,719.23,561.00,22%,241.23,Dublin,Ohio,United States
OD2150,13/04/2016,abril,2016,Oil & Masala,Spices,1619.05,1360.00,16%,176.80,Dublin,Ohio,United States
OD2377,13/04/2016,abril,2016,Fruits & Veggies,Organic Vegetables,1924.05,1520.00,21%,608.00,Dublin,Ohio,United States
OD2959,13/04/2016,abril,2016,Beverages,Health Drinks,1527.50,1222.00,20%,281.06,Dublin,Ohio,United States
OD3228,13/04/2016,abril,2016,Snacks,Cookies,1650.00,1320.00,20%,211.20,Dublin,Ohio,United States
OD3430,13/04/2016,abril,2016,Fruits & Veggies,Organic Vegetables,2944.12,2002.00,32%,540.54,Dublin,Ohio,United States
